"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "7.99601641257175" "2.76230071131555" "-0.0990140162497294" "0.345459609984356"
"9 pixels" "96957" "6.61733409113894" "2.18011417317504" "-0.0725296789340225" "0.329455055940785"
"25 pixels" "81434" "5.55435065517195" "1.78604722770556" "-0.0670775491160267" "0.321558241203672"
"49 pixels" "69084" "4.76785769613192" "1.48595909109105" "-0.0706138017798152" "0.311661795673261"
"81 pixels" "59071" "4.16597491995785" "1.2479647417624" "-0.0835571279541525" "0.299561270948559"
"121 pixels" "50084" "3.70149950934942" "1.0669212833413" "-0.0999319728387095" "0.288240287658128"
"169 pixels" "42047" "3.34057373946442" "0.933429304010456" "-0.110177688433509" "0.27942185289408"
"225 pixels" "34884" "3.05698484788124" "0.835991736343779" "-0.113226502553864" "0.27346937519929"
"289 pixels" "28063" "2.82968125249177" "0.760999104054734" "-0.110952299091445" "0.26893456758941"
