"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "74.1239158516677" "16.1198061395207" "-0.0512522408942082" "0.217471054440495"
"9 pixels" "96957" "73.7329050681309" "15.7059336898081" "-0.0458452704818572" "0.213011187817643"
"25 pixels" "81434" "73.2583441622298" "15.3402795229841" "-0.0415688112727007" "0.209399757780673"
"49 pixels" "69084" "72.75705086347" "14.9568446446211" "-0.0389557533067463" "0.205572442355971"
"81 pixels" "59071" "72.2410172767708" "14.5738293464359" "-0.0366930817566132" "0.201738982863439"
"121 pixels" "50084" "71.6913458109891" "14.1635066743173" "-0.0378007973080677" "0.197562293106601"
"169 pixels" "42047" "71.1933316799655" "13.7694562929812" "-0.0412919325797747" "0.193409354051288"
"225 pixels" "34884" "70.8448529796266" "13.4609153977979" "-0.045498437512225" "0.190005552014752"
"289 pixels" "28063" "70.5565217418994" "13.1894773758818" "-0.0499499102107633" "0.186934914735874"
