"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "70.1872119340305" "15.4154821977777" "-0.060505168263816" "0.219633773347014"
"9 pixels" "96957" "69.7420298803996" "15.0136835218905" "-0.0546804052018978" "0.215274541730967"
"25 pixels" "81434" "69.2493618437318" "14.6328530807044" "-0.0513837362529452" "0.211306684872056"
"49 pixels" "69084" "68.7564890232306" "14.2301428678774" "-0.0498597169175864" "0.206964361764742"
"81 pixels" "59071" "68.2619561793752" "13.8322501868761" "-0.048495637746028" "0.202634834409498"
"121 pixels" "50084" "67.7185375418625" "13.4149510181542" "-0.0513958478694518" "0.198098652231839"
"169 pixels" "42047" "67.217164238321" "13.0245670958287" "-0.0572061442164475" "0.193768470351555"
"225 pixels" "34884" "66.8679554043205" "12.6964089029675" "-0.0646012036002722" "0.18987284456655"
"289 pixels" "28063" "66.5753674772188" "12.3645553134078" "-0.074572630413224" "0.185722674645976"
