"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "20.5924110465457" "5.63391667453638" "-0.175338440062201" "0.273591890808796"
"9 pixels" "96957" "19.9950944517894" "5.27570860234007" "-0.169778160870852" "0.263850146597729"
"25 pixels" "81434" "19.433331900897" "4.98628079302675" "-0.163822355951894" "0.256583936221282"
"49 pixels" "69084" "18.9377349488511" "4.75552955239209" "-0.159646064229244" "0.251113956618164"
"81 pixels" "59071" "18.5066339713206" "4.55879142993647" "-0.151064850033211" "0.246332825137254"
"121 pixels" "50084" "18.1030219173478" "4.37508861754263" "-0.143998686682755" "0.241677253528045"
"169 pixels" "42047" "17.738765450445" "4.20641197449785" "-0.133265160323314" "0.237131044223392"
"225 pixels" "34884" "17.4354020534288" "4.06054960045783" "-0.11648130087866" "0.232891079197069"
"289 pixels" "28063" "17.1621611476945" "3.90468670462041" "-0.0994474016655955" "0.227517191513201"
