"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "25.4984238527503" "6.63814160762999" "-0.188177488285709" "0.260335369980682"
"9 pixels" "96957" "24.9376842328987" "6.2517707612089" "-0.190904779857454" "0.250695722298117"
"25 pixels" "81434" "24.4390612761673" "5.94586345235306" "-0.187364433003022" "0.243293446714805"
"49 pixels" "69084" "24.0217782949645" "5.70437183507096" "-0.177712506948985" "0.237466675656844"
"81 pixels" "59071" "23.6395489925322" "5.45963088150022" "-0.167341719630605" "0.230953259016275"
"121 pixels" "50084" "23.2729032573903" "5.2368053867251" "-0.155354592677637" "0.225017279915954"
"169 pixels" "42047" "22.9312157399957" "5.02319478874797" "-0.141234654771305" "0.219054883339077"
"225 pixels" "34884" "22.6262837043886" "4.85003729570501" "-0.125890075342847" "0.214354127220826"
"289 pixels" "28063" "22.3407249837604" "4.68084667712355" "-0.112837615794725" "0.209520804742285"
