"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "10.4546551438572" "3.53615536438155" "-0.133557989496117" "0.338237399103431"
"9 pixels" "96957" "9.33020236014733" "2.98023126319651" "-0.0956040791114591" "0.319417644779727"
"25 pixels" "81434" "8.3733217409595" "2.56391908477116" "-0.0663877643646879" "0.306200951556576"
"49 pixels" "69084" "7.60102463965611" "2.24988942648773" "-0.0464676578408127" "0.295998175660371"
"81 pixels" "59071" "6.95852398653494" "1.98107786475107" "-0.0410218822608488" "0.284698000407061"
"121 pixels" "50084" "6.4039461161634" "1.75365035671569" "-0.0496148614421001" "0.273839024393026"
"169 pixels" "42047" "5.91926666648388" "1.57163423060632" "-0.0618518454390864" "0.265511645134226"
"225 pixels" "34884" "5.50482619119558" "1.42974230155107" "-0.0703468304725661" "0.259725239615703"
"289 pixels" "28063" "5.15181217792647" "1.31530336553894" "-0.0746721453601331" "0.25530887387054"
