"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "34.136582266701" "8.48992849504951" "-0.190316759742033" "0.248704701270904"
"9 pixels" "96957" "33.5992754331044" "8.11148256025994" "-0.192502372266216" "0.241418377500722"
"25 pixels" "81434" "33.0760957702847" "7.77806118908848" "-0.194549482350984" "0.235156568753082"
"49 pixels" "69084" "32.5960880037195" "7.49063779528556" "-0.197776422041316" "0.22980174168234"
"81 pixels" "59071" "32.1209622260836" "7.23125533815616" "-0.201510106651065" "0.225125738365461"
"121 pixels" "50084" "31.671209684885" "7.03687741384064" "-0.20062059486348" "0.222185305956247"
"169 pixels" "42047" "31.2787050596421" "6.89438799675961" "-0.193381063023804" "0.22041794836498"
"225 pixels" "34884" "30.969570958488" "6.79641317871125" "-0.183561465189088" "0.219454547427255"
"289 pixels" "28063" "30.696169180035" "6.71708418573438" "-0.173429803570496" "0.218824835970191"
