"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "16.7704942642987" "4.90845293340405" "-0.176262468754872" "0.292683856304298"
"9 pixels" "96957" "16.0368037795387" "4.47632836121955" "-0.162617080697623" "0.279128461179457"
"25 pixels" "81434" "15.381186895456" "4.14218395662763" "-0.147080445986701" "0.269301971608663"
"49 pixels" "69084" "14.8237031567731" "3.87337169101183" "-0.131448473224354" "0.261295821296992"
"81 pixels" "59071" "14.3451049633338" "3.65097650356868" "-0.110252512485808" "0.254510267641862"
"121 pixels" "50084" "13.9223073450949" "3.45426989247272" "-0.0866633366707748" "0.248110446555378"
"169 pixels" "42047" "13.539268902388" "3.26833185993273" "-0.0630680537980209" "0.241396480378367"
"225 pixels" "34884" "13.1932505021018" "3.10164107029804" "-0.03755717414805" "0.235093017433718"
"289 pixels" "28063" "12.8705996322783" "2.94198384227863" "-0.0119834876493325" "0.228581723177871"
