"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "51.5226619550072" "12.4207093706914" "-0.118373844938239" "0.241072741574144"
"9 pixels" "96957" "51.0704987778862" "12.1027994189244" "-0.112543981283232" "0.23698220515843"
"25 pixels" "81434" "50.5668568967305" "11.7792150186861" "-0.110052744226073" "0.232943389041207"
"49 pixels" "69084" "50.074362055797" "11.474692189488" "-0.110412309798056" "0.22915303796985"
"81 pixels" "59071" "49.6046604727027" "11.2308870718641" "-0.108175486217544" "0.226407901290734"
"121 pixels" "50084" "49.1433740461701" "11.0224998455835" "-0.106691835063473" "0.224292695801226"
"169 pixels" "42047" "48.7405579514312" "10.8385305040521" "-0.104118385624191" "0.222371900519736"
"225 pixels" "34884" "48.4306594877267" "10.6612101121665" "-0.102712102860235" "0.220133490333087"
"289 pixels" "28063" "48.141460564565" "10.4367333362928" "-0.106785855808423" "0.216793034816539"
