"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "13.218049837703" "4.18387789644685" "-0.169686674919718" "0.316527623047147"
"9 pixels" "96957" "12.3188911160318" "3.67851666737384" "-0.142810043113753" "0.298607775060746"
"25 pixels" "81434" "11.5328027927596" "3.2666265018585" "-0.117942886440903" "0.28324654124055"
"49 pixels" "69084" "10.8701551239488" "2.94143264206879" "-0.0996642626564461" "0.270597117385042"
"81 pixels" "59071" "10.2973312132505" "2.67289264870716" "-0.085529043377726" "0.259571397030302"
"121 pixels" "50084" "9.80095639203887" "2.44082953311646" "-0.0741324815424861" "0.249039934010838"
"169 pixels" "42047" "9.34720017624355" "2.24229901594163" "-0.0670411710749044" "0.239889910739321"
"225 pixels" "34884" "8.94202829167071" "2.08897820910422" "-0.0570674742837164" "0.233613464525722"
"289 pixels" "28063" "8.57002673754884" "1.96821574746702" "-0.0429331788392205" "0.229662731254204"
