"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "28.5751072514721" "7.32996226167805" "-0.191121620622388" "0.256515651793413"
"9 pixels" "96957" "28.0414864406803" "6.92367399680706" "-0.195092766324782" "0.24690823760194"
"25 pixels" "81434" "27.570183546931" "6.59804234266047" "-0.191492342802146" "0.239318041950248"
"49 pixels" "69084" "27.1546516004664" "6.33417348625882" "-0.18473148862316" "0.233262925978768"
"81 pixels" "59071" "26.75410806539" "6.07073510289352" "-0.179518976394131" "0.226908521414953"
"121 pixels" "50084" "26.3717275851971" "5.8285122648216" "-0.174391902624955" "0.221013668747786"
"169 pixels" "42047" "26.0244143114607" "5.62578103038035" "-0.164196101952651" "0.216173204247784"
"225 pixels" "34884" "25.7333904730299" "5.4768762666372" "-0.150030730964239" "0.212831506690783"
"289 pixels" "28063" "25.4691444922108" "5.34480986036999" "-0.135688588347242" "0.209854314580711"
