"Site" "years" "locpar_LM" "sclpar_LM" "k_LM" "CV_LM"
"1 pixel" "117610" "41.9004197187678" "10.0433611183503" "-0.16581365221165" "0.239695954975164"
"9 pixels" "96957" "41.4011403042835" "9.68953833613133" "-0.16266779043278" "0.234040373403165"
"25 pixels" "81434" "40.8747607670408" "9.32938097154997" "-0.162862893446567" "0.228243072166741"
"49 pixels" "69084" "40.3617920247273" "8.99295272942037" "-0.168583707983155" "0.222808559241149"
"81 pixels" "59071" "39.8917306628043" "8.7346747550457" "-0.171198675915258" "0.218959533966523"
"121 pixels" "50084" "39.4480199592926" "8.50505431831376" "-0.174393146965155" "0.215601551791201"
"169 pixels" "42047" "39.0678101926059" "8.30094135387385" "-0.175302668486457" "0.212475214580748"
"225 pixels" "34884" "38.7773123038217" "8.13778501314935" "-0.173779622424461" "0.209859439184168"
"289 pixels" "28063" "38.5264397374482" "7.97523982330591" "-0.173286380740916" "0.207006925053442"
