Naam,Nummer,X,Y
Lochem,663,224000,463000
Almelo,664,242000,485000
Enschede,665,259000,470000
Winterswijk (Sibinkweg),666,244000,442000
Doetinchem,667,218000,444000
Hengelo (O),668,249000,476000
Borculo,669,233000,457000
Twenthe,670,259000,476000
Hellendoorn,672,227000,489000
Gendringen,673,221000,431000
Rekken,674,247000,456000
Weerselo,675,256000,486000
Almen,678,219000,464000
Herwen,679,204000,434000
Aalten,680,236000,437000
Lettele,681,216000,476000
Markelo,682,230000,473000
Lichtenvoorde,683,236000,446000
Lievelde,684,241000,448000
Woold,686,248000,438000
Holten,687,228000,480000
Hupsel,688,241000,454000
Deventer,689,212000,475000
Breskens,705,27000,380000
Ritthem,733,32000,387000
Kapelle,735,55000,389000
Brouwershaven,736,51000,417000
Kerkwerve,737,50000,411000
Biervliet,738,37000,373000
St Kruis,740,23000,367000
Stavenisse,741,60000,401000
Terneuzen,742,49000,370000
Noordgouwe,743,57000,413000
Anna Jacoba Polder,744,68000,406000
Westkapelle,746,20000,395000
Krabbendijke,747,66000,384000
Wilhelminadorp,749,52000,394000
Rilland,750,71000,382000
Vrouwenpolder,751,30000,401000
Haamstede,752,40000,412000
Ovezande,754,46000,383000
Kortgene,755,47000,398000
Middelburg,756,30000,390000
Tholen,757,73000,394000
Wolphaartsdijk,758,41000,395000
s Heerenhoek,760,43000,388000
Philippine,761,41000,369000
Schoondijke,762,27000,376000
Cadzand,763,17000,378000
Kloosterzande,764,60000,378000
Kapellebrug,767,61000,364000
Westdorpe,770,49000,360000
Tilburg,827,137000,397000
Oudenbosch,828,95000,399000
Zundert,829,105000,387000
Herwijnen,830,139000,426000
Esbeek,831,138000,383000
Bergen op Zoom,832,76000,391000
Oosterhout,833,120000,406000
Chaam,834,119000,391000
Andel,835,132000,422000
Gorinchem,836,127000,428000
Steenbergen (Nb),837,82000,401000
Ginneken,838,111000,396000
Hoogerheide,839,80000,383000
Nieuwendijk (Nb),840,123000,420000
Klundert,841,96000,408000
Gilze-Rijen,843,123000,398000
Capelle (Nb),844,127000,410000
Sevenum,883,199000,379000
Giersbergen,892,139000,408000
Helmond,896,170000,386000
Venlo,897,211000,374000
Gemert,899,175000,395000
Nuland,901,157000,415000
Megen,903,167000,426000
Someren,904,176000,379000
St Anthonis,905,189000,405000
Oirschot,906,151000,391000
Boxtel,907,151000,399000
Deurne,908,182000,385000
Mill,909,183000,410000
Ammerzoden,910,143000,418000
Dinther,911,162000,406000
Leende,912,165000,371000
IJsselsteyn (L),913,190000,389000
Oss,914,165000,419000
Eersel,915,146000,373000
Zaltbommel,917,147000,423000
Maarheeze,918,169000,369000
Eindhoven (Vb),919,157000,384000
Volkel,920,177000,408000
Venray,921,197000,392000
Siebengewald,922,204000,408000
Arcen,923,210000,388000
Waalre,926,159000,375000
Roermond,961,195000,355000
Ubachsberg,962,192000,318000
Valkenburg (L),963,187000,319000
Weert,964,177000,363000
Schaesberg,965,200000,323000
Schinnen,966,189000,327000
Heibloem (L),967,190000,367000
Vaals,968,199000,310000
Stein (L),969,181000,331000
Stramproy,970,178000,355000
Noorbeek,971,185000,309000
Beek,973,185000,326000
Buchten,974,184000,339000
Reuver,977,203000,366000
Echt,979,192000,345000
Epen (Nieuw) (L),980,192000,308000
Oost Maarland,981,178000,312000
Schinveld,982,197000,332000
